microservice,type,parameter,categorical,discrete,float,range,step,default
compose-post-service,service,io_threads,,1,,1;48,4,4
compose-post-service,service,worker_threads,,1,,24;960,48,48
compose-post-service,resource,resource,,1,,1;5,1,1
compose-post-service,resource,replicas,,1,,1;3,1,1
url-shorten-service,service,io_threads,,1,,1;48,4,4
url-shorten-service,service,worker_threads,,1,,24;960,48,48
url-shorten-service,resource,resource,,1,,1;5,1,1
url-shorten-service,resource,replicas,,1,,1;3,1,1
compose-post-redis,redis,redis_tcp_keepalive,,1,,100;500,30,300
compose-post-redis,redis,repl-diskless-sync-delay,,1,,1;10,1,5
compose-post-redis,redis,maxmemory,,1,,100;10000,100,500
compose-post-redis,redis,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,noeviction
compose-post-redis,redis,maxmemory-samples,,1,,3;20,1,5
compose-post-redis,redis,maxclients,,1,,5000;100000,1000,10000
compose-post-redis,redis,tcp-backlog,,1,,100;10000,100,511
compose-post-redis,redis,list-max-ziplist-size,,1,,1;5,1,2
compose-post-redis,redis,hash-max-ziplist-entries,,1,,256;1024,64,512
compose-post-redis,redis,hash-max-ziplist-value,,1,,256;1024,64,512
compose-post-redis,redis,list-compress-depth,,1,,0;3,10,0
compose-post-redis,redis,set-max-intset-entries,,1,,256;1024,64,512
compose-post-redis,redis,zset-max-ziplist-entries,,1,,128;1024,64,128
compose-post-redis,redis,zset-max-ziplist-value,,1,,64;1024,64,64
compose-post-redis,redis,hll-sparse-max-bytes,,1,,1000;10000,1000,3000
compose-post-redis,redis,hz,,1,,10;100,10,100
compose-post-redis,redis,active-defrag-ignore-bytes,,1,,50;500,100,100
compose-post-redis,redis,lua-time-limit,,1,,1000;10000,1000,5000
compose-post-redis,resource,resource,,1,,1;5,1,1
compose-post-redis,resource,replicas,,1,,1;3,1,1
post-storage-mongodb,mongodb,journalCommitInterval,,1,,10;500,25,200
post-storage-mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60
post-storage-mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5
post-storage-mongodb,mongodb,journalCompressor,1,,,none;snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,blockCompressor,1,,,none;snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,connPoolMaxConnsPerHost,,1,,100;1000,50,200
post-storage-mongodb,mongodb,connPoolMaxInUseConnsPerHost,,1,,100;1000,50,200
post-storage-mongodb,mongodb,maxNumActiveUserIndexBuilds,,1,,1;10,1,3
post-storage-mongodb,mongodb,tcmallocReleaseRate,,,1,1;10,0.5,1.0
post-storage-mongodb,mongodb,maxSessions,,1,,10000;1000000,10000,1000000
post-storage-mongodb,mongodb,TransactionRecordMinimumLifetimeMinutes,,1,,5;60,5,5
post-storage-mongodb,mongodb,flowControlTargetLagSeconds,,1,,1;10,1,10
post-storage-mongodb,mongodb,oplogInitialFindMaxSeconds,,1,,30;300,10,60
post-storage-mongodb,mongodb,replWriterThreadCount,,1,,8;32,2,16
post-storage-mongodb,mongodb,wiredTigerConcurrentReadTransactions,,1,,64;1024,32,64
post-storage-mongodb,mongodb,wiredTigerConcurrentWriteTransactions,,1,,64;1024,32,64
post-storage-mongodb,mongodb,maxIncomingConnections,,1,,100;1024,32,200
post-storage-mongodb,mongodb,netCompressors,1,,,snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
post-storage-mongodb,mongodb,maxTransactionLockRequestTimeoutMillis,,1,,10;100,10,10
post-storage-mongodb,resource,resource,,1,,1;5,1,1
post-storage-mongodb,resource,replicas,,1,,1;3,1,1
user-mention-service,service,io_threads,,1,,1;48,4,4
user-mention-service,service,worker_threads,,1,,24;960,48,48
user-mention-service,resource,resource,,1,,1;5,1,1
user-mention-service,resource,replicas,,1,,1;3,1,1
text-service,service,io_threads,,1,,1;48,4,4
text-service,service,worker_threads,,1,,24;960,48,48
text-service,resource,resource,,1,,1;5,1,1
text-service,resource,replicas,,1,,1;3,1,1
user-timeline-mongodb,mongodb,journalCommitInterval,,1,,10;500,25,200
user-timeline-mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60
user-timeline-mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5
user-timeline-mongodb,mongodb,journalCompressor,1,,,none;snappy;zlib;zstd,1,snappy
user-timeline-mongodb,mongodb,blockCompressor,1,,,none;snappy;zlib;zstd,1,snappy
user-timeline-mongodb,mongodb,connPoolMaxConnsPerHost,,1,,100;1000,50,200
user-timeline-mongodb,mongodb,connPoolMaxInUseConnsPerHost,,1,,100;1000,50,200
user-timeline-mongodb,mongodb,maxNumActiveUserIndexBuilds,,1,,1;10,1,3
user-timeline-mongodb,mongodb,tcmallocReleaseRate,,,1,1;10,0.5,1.0
user-timeline-mongodb,mongodb,maxSessions,,1,,10000;1000000,10000,1000000
user-timeline-mongodb,mongodb,TransactionRecordMinimumLifetimeMinutes,,1,,5;60,5,5
user-timeline-mongodb,mongodb,flowControlTargetLagSeconds,,1,,1;10,1,10
user-timeline-mongodb,mongodb,oplogInitialFindMaxSeconds,,1,,30;300,10,60
user-timeline-mongodb,mongodb,replWriterThreadCount,,1,,8;32,2,16
user-timeline-mongodb,mongodb,wiredTigerConcurrentReadTransactions,,1,,64;1024,32,64
user-timeline-mongodb,mongodb,wiredTigerConcurrentWriteTransactions,,1,,64;1024,32,64
user-timeline-mongodb,mongodb,maxIncomingConnections,,1,,100;1024,32,200
user-timeline-mongodb,mongodb,netCompressors,1,,,snappy;zlib;zstd,1,snappy
user-timeline-mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
user-timeline-mongodb,mongodb,maxTransactionLockRequestTimeoutMillis,,1,,10;100,10,10
user-timeline-mongodb,resource,resource,,1,,1;5,1,1
user-timeline-mongodb,resource,replicas,,1,,1;3,1,1
nginx-web-server,nginx,worker_processes,,1,,1;48,1,4
nginx-web-server,nginx,threads,,1,,1;48,1,4
nginx-web-server,nginx,max_queue,,1,,1024;65536,1024,1024
nginx-web-server,nginx,accept_mutex_delay,,1,,100;1000,100,100
nginx-web-server,nginx,worker_connections,,1,,32;4096,128,128
nginx-web-server,nginx,keepalive_timeout,,1,,10;100,10,10
nginx-web-server,nginx,worker_rlimit_nofile,,1,,1024;65535,1024,1024
nginx-web-server,nginx,sendfile,1,,,on;off,1,on
nginx-web-server,nginx,tcp_nopush,1,,,on;off,1,on
nginx-web-server,nginx,tcp_nodelay,1,,,on;off,1,on
nginx-web-server,resource,resource,,1,,1;5,1,1
nginx-web-server,resource,replicas,,1,,1;1,1,1
user-timeline-service,service,io_threads,,1,,1;48,4,4
user-timeline-service,service,worker_threads,,1,,24;960,48,48
user-timeline-service,resource,resource,,1,,1;5,1,1
user-timeline-service,resource,replicas,,1,,1;3,1,1
post-storage-service,service,io_threads,,1,,1;48,4,4
post-storage-service,service,worker_threads,,1,,24;960,48,48
post-storage-service,resource,resource,,1,,1;5,1,1
post-storage-service,resource,replicas,,1,,1;3,1,1
media-service,service,io_threads,,1,,1;48,4,4
media-service,service,worker_threads,,1,,24;960,48,48
media-service,resource,resource,,1,,1;5,1,1
media-service,resource,replicas,,1,,1;3,1,1
unique-id-service,service,io_threads,,1,,1;48,4,4
unique-id-service,service,worker_threads,,1,,24;960,48,48
unique-id-service,resource,resource,,1,,1;5,1,1
unique-id-service,resource,replicas,,1,,1;3,1,1
media-memcached,memcached,m,,1,,64;1024,32,256
media-memcached,memcached,n,,1,,64;1024,32,256
media-memcached,memcached,f,,,1,1.1;10,0.5,2
media-memcached,memcached,c,,1,,512;2048,32,1024
media-memcached,memcached,t,,1,,1;32,2,8
media-memcached,memcached,R,,1,,20;128,10,64
media-memcached,memcached,b,,1,,1024;2048,32,1024
media-memcached,resource,resource,,1,,1;5,1,1
media-memcached,resource,replicas,,1,,1;3,1,1
post-storage-memcached,memcached,m,,1,,64;1024,32,256
post-storage-memcached,memcached,n,,1,,64;1024,32,256
post-storage-memcached,memcached,f,,,1,1.1;10,0.5,2
post-storage-memcached,memcached,c,,1,,512;2048,32,1024
post-storage-memcached,memcached,t,,1,,1;32,2,8
post-storage-memcached,memcached,R,,1,,20;128,10,64
post-storage-memcached,memcached,b,,1,,1024;2048,32,1024
post-storage-memcached,resource,resource,,1,,1;5,1,1
post-storage-memcached,resource,replicas,,1,,1;3,1,1
url-shorten-memcached,memcached,m,,1,,64;1024,32,256
url-shorten-memcached,memcached,n,,1,,64;1024,32,256
url-shorten-memcached,memcached,f,,,1,1.1;10,0.5,2
url-shorten-memcached,memcached,c,,1,,512;2048,32,1024
url-shorten-memcached,memcached,t,,1,,1;32,2,8
url-shorten-memcached,memcached,R,,1,,20;128,10,64
url-shorten-memcached,memcached,b,,1,,1024;2048,32,1024
url-shorten-memcached,resource,resource,,1,,1;5,1,1
url-shorten-memcached,resource,replicas,,1,,1;3,1,1
user-memcached,memcached,m,,1,,64;1024,32,256
user-memcached,memcached,n,,1,,64;1024,32,256
user-memcached,memcached,f,,,1,1.1;10,0.5,2
user-memcached,memcached,c,,1,,512;2048,32,1024
user-memcached,memcached,t,,1,,1;32,2,8
user-memcached,memcached,R,,1,,20;128,10,64
user-memcached,memcached,b,,1,,1024;2048,32,1024
user-memcached,resource,resource,,1,,1;5,1,1
user-memcached,resource,replicas,,1,,1;3,1,1