microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
mysql,mysql,back_log,,1,,32;1024,32,,,
mysql,mysql,key_buffer_size,,1,,16;1024,32,,,
mysql,mysql,max_connections,,1,,100;10000,50,,,
mysql,mysql,innodb_buffer_pool_size,,1,,32;1024,32,,,
mysql,mysql,max_connect_errors,,1,,100;10000,100,,,
mysql,mysql,open_files_limit,,1,,1024;65535,1024,,,
mysql,mysql,table_open_cache,,1,,32;1024,32,,,
mysql,mysql,max_allowed_packet,,1,,1;16,1,,,
mysql,mysql,binlog_cache_size,,1,,1;16,1,,,
mysql,mysql,max_heap_table_size,,1,,1;32,1,,,
mysql,mysql,tmp_table_size,,1,,1;32,1,,,
mysql,mysql,read_buffer_size,,1,,1;32,1,,,
mysql,mysql,read_rnd_buffer_size,,1,,1;32,1,,,
mysql,mysql,sort_buffer_size,,1,,1;32,1,,,
mysql,mysql,join_buffer_size,,1,,1;32,1,,,
mysql,mysql,thread_cache_size,,1,,4;128,4,,,
mysql,mysql,ft_min_word_len,,1,,4;32,1,,,
mysql,mysql,transaction_isolation,1,,,READ-UNCOMMITTED;READ-COMMITTED;REPEATABLE-READ;SERIALIZABLE,1,,,
mysql,mysql,innodb_open_files,,1,,100;1000,50,,,
mysql,mysql,innodb_write_io_threads,,1,,1;64,2,,,
mysql,mysql,innodb_read_io_threads,,1,,1;64,2,,,
mysql,mysql,innodb_log_buffer_size,,1,,1;32,1,,,
mysql,mysql,innodb_log_file_size,,1,,1;32,1,,,
mysql,mysql,innodb_log_files_in_group,,1,,1;10,1,,,
mysql,mysql,innodb_lock_wait_timeout,,1,,30;120,1,,,
mysql,mysql,innodb_flush_log_at_trx_commit,,1,,0;2,1,,,
mysql,resource,cpus,,,1,0.1;16,0.1,,,
mysql,resource,memory,,,1,0.1;16,0.2,,,
mysql,resource,replicas,,1,,1;1,1,,,