Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/EpBudget
nan,nan,nan,0.0,1.4189075231552124,0.01285749301314354,4.0,1.0150498151779175,1.0150498151779175,1.0150498151779175,0.036838117986917496,0.00028124998789280653,0.9999695420265198,64.0,-0.08135432004928589,-0.08135432004928589,0.06451915949583054,177.51202392578125,177.51202392578125,0.20670506358146667,17.335737228393555,17.226333618164062,0.10894513130187988,17.33538055419922,3.6918716430664062,nan
nan,nan,nan,1.0,1.4191105365753174,0.01190903875976801,4.0,0.9947344660758972,0.9947344660758972,0.9947344660758972,0.02532350830733776,0.0002624999906402081,1.0001744031906128,128.0,-0.06766727566719055,0.013687044382095337,0.0033219046890735626,177.13339233398438,-0.378631591796875,0.03584874048829079,34.70163345336914,17.23682403564453,0.11137628555297852,17.348312377929688,3.689119815826416,nan
nan,nan,nan,2.0,1.4192346334457397,0.015427697449922562,4.0,1.0097379684448242,1.0097379684448242,1.0097379684448242,0.03163076564669609,0.00024374999338760972,1.0003019571304321,192.0,-0.058974698185920715,0.008692577481269836,0.011169716715812683,175.97650146484375,-1.156890869140625,-0.11125761270523071,51.817649841308594,16.995784759521484,0.10400748252868652,17.099899291992188,3.7427122592926025,nan
nan,nan,nan,3.0,1.4193744659423828,0.010745825245976448,4.0,1.0034329891204834,1.0034329891204834,1.0034329891204834,0.02714463323354721,0.00022499999613501132,1.0004453659057617,256.0,-0.04330087825655937,0.015673819929361343,-0.03484051674604416,177.3637237548828,1.3872222900390625,-0.2975751459598541,68.89705657958984,16.94947624206543,0.1143198013305664,17.06386375427246,3.7506163120269775,nan
nan,nan,nan,4.0,1.4193190336227417,0.007789056282490492,4.0,1.0142030715942383,1.0142030715942383,1.0142030715942383,0.039223816245794296,0.0002062499988824129,1.0003929138183594,320.0,-0.048481740057468414,-0.005180861800909042,-0.41367578506469727,173.34771728515625,-4.0160064697265625,-0.7839962244033813,85.67247772216797,16.64893341064453,0.11141633987426758,16.760465621948242,3.818509817123413,nan
nan,nan,nan,5.0,1.4194819927215576,0.011184637434780598,4.0,0.9976677298545837,0.9976677298545837,0.9976677298545837,0.01894858293235302,0.0001875000016298145,1.0005580186843872,384.0,-0.039296358823776245,0.00918538123369217,-0.29679691791534424,168.59866333007812,-4.749053955078125,-1.10178542137146,102.7249755859375,16.93551254272461,0.09946966171264648,17.03508186340332,3.756953001022339,nan
nan,nan,nan,6.0,1.419441819190979,0.006144756451249123,4.0,1.0016388893127441,1.0016388893127441,1.0016388893127441,0.022581489756703377,0.0001687500043772161,1.0005196332931519,448.0,-0.03154118359088898,0.007755175232887268,-0.0047875866293907166,170.30194091796875,1.703277587890625,-1.484230637550354,119.63447570800781,16.78016471862793,0.11588048934936523,16.89613151550293,3.7878496646881104,nan
nan,nan,nan,7.0,1.4192986488342285,0.008915487676858902,4.0,0.9943546652793884,0.9943546652793884,0.9943546652793884,0.024105902761220932,0.0001500000071246177,1.000378131866455,512.0,-0.04107437655329704,-0.009533192962408066,-0.201500803232193,171.1729736328125,0.87103271484375,-1.5162074565887451,136.452392578125,16.70890998840332,0.09393429756164551,16.80291175842285,3.808863639831543,nan
nan,nan,nan,8.0,1.4193364381790161,0.007899696007370949,4.0,1.012886643409729,1.012886643409729,1.012886643409729,0.020278165116906166,0.00013124999532010406,1.0004169940948486,576.0,-0.04319000989198685,-0.002115633338689804,-0.2800934612751007,165.26736450195312,-5.905609130859375,-1.8442648649215698,154.01173400878906,17.425153732299805,0.11619424819946289,17.541454315185547,3.648500442504883,nan
nan,nan,nan,9.0,1.4193753004074097,0.004360351245850325,4.0,1.0042147636413574,1.0042147636413574,1.0042147636413574,0.019059762358665466,0.00011249999806750566,1.0004560947418213,640.0,-0.03607145696878433,0.007118552923202515,-0.04378737509250641,167.47010803222656,2.2027435302734375,-2.451080322265625,170.50477600097656,16.36504364013672,0.11225342750549316,16.4774112701416,3.884105682373047,nan
nan,nan,nan,10.0,1.4194495677947998,0.003055596724152565,4.0,1.0009938478469849,1.0009938478469849,1.0009938478469849,0.015787450596690178,9.375000081490725e-05,1.0005302429199219,704.0,-0.028470292687416077,0.007601164281368256,0.2455659806728363,164.26055908203125,-3.2095489501953125,-3.003119945526123,186.6951904296875,16.05560874938965,0.11883854866027832,16.174549102783203,3.956833839416504,nan
nan,nan,nan,11.0,1.4195383787155151,0.0018816996598616242,4.0,1.0030364990234375,1.0030364990234375,1.0030364990234375,0.007649608887732029,7.500000356230885e-05,1.0006191730499268,768.0,-0.01826893910765648,0.010201353579759598,0.1225256398320198,165.9509735107422,1.6904144287109375,-3.558670997619629,202.79722595214844,15.991564750671387,0.09696292877197266,16.088586807250977,3.977975368499756,nan
nan,nan,nan,12.0,1.4195269346237183,0.0009258142672479153,4.0,0.9949749112129211,0.9949749112129211,0.9949749112129211,0.008554751984775066,5.624999903375283e-05,1.0006074905395508,832.0,-0.01866668090224266,-0.00039774179458618164,0.04807133972644806,164.0552215576172,-1.895751953125,-4.27474308013916,218.4992218017578,15.594164848327637,0.09475469589233398,15.688987731933594,4.079294681549072,nan
nan,nan,nan,13.0,1.4194939136505127,0.0011021025711670518,4.0,1.0001920461654663,1.0001920461654663,1.0001920461654663,0.005513963755220175,3.7500001781154424e-05,1.0005738735198975,896.0,-0.018923785537481308,-0.00025710463523864746,-0.05802859365940094,158.52581787109375,-5.5294036865234375,-4.650063514709473,234.62213134765625,15.960199356079102,0.14497661590576172,16.10529136657715,3.973849296569824,nan
nan,nan,nan,14.0,1.4194586277008057,0.0017029480077326298,4.0,0.9954667091369629,0.9954667091369629,0.9954667091369629,0.008855003863573074,1.8750000890577212e-05,1.0005382299423218,960.0,-0.01593850366771221,0.0029852818697690964,-0.24855731427669525,228.97935485839844,70.45353698730469,3.0227909088134766,250.55535888671875,15.805545806884766,0.11060547828674316,15.916261672973633,4.021045207977295,nan
nan,nan,nan,15.0,1.419387698173523,6.225417018868029e-05,4.0,0.9997332096099854,0.9997332096099854,0.9997332096099854,0.0019585725385695696,0.0,1.00046706199646,1024.0,-0.00505394721403718,0.010884556453675032,-0.08797214180231094,164.51730346679688,-64.46205139160156,-5.857626914978027,266.44793701171875,15.767463684082031,0.10937881469726562,15.876908302307129,4.031011581420898,nan
